Name,Population,Member state
London,8174100,United Kingdom
Berlin,3468939,Germany
Madrid,3213271,Spain
Rome,2777979,Italy
Paris,2243833,France
Hamburg,1802041,Germany
Budapest,1740041,Hungary
Vienna,1731236,Austria
Warsaw,1700612,Poland
Bucharest,1677985,Romania
Stockholm,1372565,Sweden
Munich,1353186,Germany
Milan,1347298,Italy
Sofia,1202761,Bulgaria
Birmingham,1074300,United Kingdom
Cologne,1007119,Germany
Marseille,850726,France
Amsterdam,801542,Netherlands
Krakow,757611,Poland
Dodd,728892,Poland
Wrochaw,630131,Poland
Helsinki,614074,Finland
Stuttgart,602056,Germany
Glasgow,598470,United Kingdom
Dusseldorf,586564,Germany
Dortmund,580688,Germany
Essen,575027,Germany
Dublin,527612,Ireland
Dresden,525105,Germany
Hanover,518386,Germany
Lisbon,508209,Portugal
Nuremberg,505664,Germany
Duisburg,490322,Germany
Lyon,484344,France
Leeds,751500,United Kingdom
Toulouse,441802,France
Bratislava,431061,Slovakia
Nice,343304,France
Plovdiv,338153,Bulgaria
Varna,334870,Bulgaria
Iai,315649,Romania
Timioara,312113,Romania
Cluj-Napoca,306009,Romania
Constanha,302040,Romania
Craiova,298643,Romania
Galahi,290733,Romania
Nantes,284970,France
Brahov,278003,Romania
Strasbourg,271782,France
Augsburg,264708,Germany
Montpellier,257351,France
Espoo,252945,Finland
Bordeaux,239157,France
Ploiehti,228378,Romania
Lille,227560,France
Tampere,215377,Finland
Brhila,211884,Romania
Rennes,207178,France
Oradea,204477,Romania
Vantaa,203428,Finland
Burgas,200271,Bulgaria
Groningen,193127,Netherlands
Reims,179992,France
Turku,178846,Finland
Bachu,177087,Romania
Le Havre,175497,France
Saint-etienne,171260,France
Pitehti,166893,Romania
Arad,166003,Romania
Toulon,164532,France
Grenoble,155637,France
Sibiu,154548,Romania
Dijon,151212,France
Rousse,149642,Bulgaria
Angers,147571,France
Turgu Mureh,145151,Romania
Villeurbanne,145150,France
Saint-Denis-Raunion,145022,France
Oulu,144114,Finland
Le Mans,142626,France
Nomes,142205,France
Aix-en-Provence,141438,France
Brest,141303,France
Uppsala,140454,Sweden
Clermont-Ferrand,139860,France
Baia Mare,139154,Romania
Limoges,139150,France
Stara Zagora,138272,Bulgaria
Tours,134817,France
Amiens,133448,France
Buzhu,132210,Romania
Jyvoskylo,132115,Finland
Metz,120738,France
Latina,118946,Italy
Matarc,118748,Spain
Perpignan,117419,France
Besanion,116914,France
Botohani,116110,Romania
Boulogne-Billancourt,114205,France
Orleans,114167,France
Satu Mare,112705,Romania
Rouen,110933,France
Romnicu Volcea,110901,Romania
Mulhouse,109588,France
Caen,108954,France
Piatra Neamh,107504,Romania
Suceava,106934,Romania
Seine-Saint-Denis,106785,France
Drobeta-Turnu Severin,106507,Romania
Nancy,105421,France
Luxembourg,103641,Luxembourg
Saint-Paul,103346,France
Argenteuil,103125,France
Montreuil,102770,France
Lahti,102383,Finland
